instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weekday_nome,estacao_nome,tempo_nome,temp_norm,hum_norm,windspeed_norm
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,Seg,Inverno,Bom tempo,0.20408163265306123,0.35,0.3508875044081345
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,Seg,Inverno,Bom tempo,0.22448979591836735,0.35,0.33337251675091106
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,Seg,Inverno,Bom tempo,0.2448979591836735,0.3,0.33337251675091106
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,Seg,Inverno,Bom tempo,0.2448979591836735,0.3,0.298224991183731
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,Seg,Inverno,Bom tempo,0.2448979591836735,0.3,0.298224991183731
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,Seg,Inverno,Bom tempo,0.22448979591836735,0.3,0.2631950158692841
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,Seg,Inverno,Bom tempo,0.22448979591836735,0.32,0.12284001410603033
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,Seg,Inverno,Bom tempo,0.1836734693877551,0.47,0.0
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,Seg,Inverno,Bom tempo,0.1836734693877551,0.47,0.12284001410603033
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,Seg,Inverno,Bom tempo,0.163265306122449,0.64,0.15786998942047725
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,Seg,Inverno,Bom tempo,0.12244897959183676,0.69,0.15786998942047725
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,Seg,Inverno,Bom tempo,0.163265306122449,0.55,0.12284001410603033
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,Ter,Inverno,Bom tempo,0.14285714285714288,0.55,0.12284001410603033
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,Ter,Inverno,Bom tempo,0.14285714285714288,0.59,0.12284001410603033
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,Ter,Inverno,Bom tempo,0.12244897959183676,0.63,0.15786998942047725
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,Ter,Inverno,Bom tempo,0.12244897959183676,0.63,0.10532502644880687
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,Ter,Inverno,Bom tempo,0.10204081632653061,0.68,0.12284001410603033
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,Ter,Inverno,Bom tempo,0.10204081632653061,0.74,0.12284001410603033
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,Ter,Inverno,Bom tempo,0.10204081632653061,0.74,0.15786998942047725
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,Ter,Inverno,Bom tempo,0.12244897959183676,0.69,0.19301751498765723
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,Ter,Inverno,Bom tempo,0.14285714285714288,0.64,0.2631950158692841
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,Ter,Inverno,Nublado,0.14285714285714288,0.69,0.38603502997531447
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,Ter,Inverno,Bom tempo,0.20408163265306123,0.51,0.3508875044081345
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,Ter,Inverno,Bom tempo,0.20408163265306123,0.51,0.19301751498765723
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,Ter,Inverno,Bom tempo,0.22448979591836735,0.56,0.22804749030210417
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,Ter,Inverno,Bom tempo,0.2448979591836735,0.52,0.2631950158692841
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,Ter,Inverno,Bom tempo,0.2653061224489796,0.52,0.298224991183731
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,Ter,Inverno,Bom tempo,0.2857142857142857,0.49,0.298224991183731
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,Ter,Inverno,Bom tempo,0.2653061224489796,0.48,0.2631950158692841
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,Ter,Inverno,Bom tempo,0.2448979591836735,0.48,0.22804749030210417
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,Ter,Inverno,Bom tempo,0.22448979591836735,0.48,0.12284001410603033
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,Ter,Inverno,Bom tempo,0.22448979591836735,0.48,0.12284001410603033
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,Ter,Inverno,Bom tempo,0.20408163265306123,0.64,0.0
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,Ter,Inverno,Bom tempo,0.20408163265306123,0.64,0.10532502644880687
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,Ter,Inverno,Bom tempo,0.1836734693877551,0.69,0.10532502644880687
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,Qua,Inverno,Bom tempo,0.1836734693877551,0.64,0.0
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,Qua,Inverno,Bom tempo,0.14285714285714288,0.74,0.10532502644880687
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,Qua,Inverno,Bom tempo,0.14285714285714288,0.74,0.10532502644880687
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,Qua,Inverno,Bom tempo,0.22448979591836735,0.48,0.2631950158692841
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,Qua,Inverno,Bom tempo,0.20408163265306123,0.47,0.19301751498765723
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,Qua,Inverno,Bom tempo,0.1836734693877551,0.47,0.2631950158692841
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,Qua,Inverno,Bom tempo,0.163265306122449,0.43,0.22804749030210417
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,Qua,Inverno,Bom tempo,0.1836734693877551,0.4,0.3508875044081345
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,Qua,Inverno,Bom tempo,0.20408163265306123,0.37,0.38603502997531447
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,Qua,Inverno,Bom tempo,0.20408163265306123,0.37,0.38603502997531447
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,Qua,Inverno,Bom tempo,0.2448979591836735,0.33,0.38603502997531447
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,Qua,Inverno,Bom tempo,0.2448979591836735,0.33,0.38603502997531447
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,Qua,Inverno,Bom tempo,0.2653061224489796,0.3,0.3508875044081345
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,Qua,Inverno,Bom tempo,0.2857142857142857,0.28,0.22804749030210417
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,Qua,Inverno,Bom tempo,0.2857142857142857,0.28,0.22804749030210417
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,Qua,Inverno,Bom tempo,0.2857142857142857,0.28,0.10532502644880687
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,Qua,Inverno,Bom tempo,0.22448979591836735,0.38,0.22804749030210417
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,Qua,Inverno,Bom tempo,0.22448979591836735,0.38,0.15786998942047725
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,Qua,Inverno,Bom tempo,0.22448979591836735,0.38,0.12284001410603033
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,Qua,Inverno,Bom tempo,0.20408163265306123,0.47,0.19301751498765723
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,Qua,Inverno,Bom tempo,0.1836734693877551,0.51,0.22804749030210417
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,Qua,Inverno,Bom tempo,0.163265306122449,0.55,0.15786998942047725
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,Qua,Inverno,Bom tempo,0.1836734693877551,0.47,0.0
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,Qui,Inverno,Bom tempo,0.163265306122449,0.55,0.0
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,Qui,Inverno,Bom tempo,0.14285714285714288,0.64,0.0
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,Qui,Inverno,Bom tempo,0.14285714285714288,0.64,0.0
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,Qui,Inverno,Nublado,0.14285714285714288,0.64,0.10532502644880687
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,Qui,Inverno,Nublado,0.12244897959183676,0.69,0.10532502644880687
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,Qui,Inverno,Nublado,0.12244897959183676,0.63,0.12284001410603033
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,Qui,Inverno,Nublado,0.14285714285714288,0.59,0.0
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,Qui,Inverno,Bom tempo,0.14285714285714288,0.59,0.0
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,Qui,Inverno,Nublado,0.163265306122449,0.51,0.0
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,Qui,Inverno,Bom tempo,0.1836734693877551,0.47,0.0
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,Qui,Inverno,Bom tempo,0.20408163265306123,0.44,0.10532502644880687
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,Qui,Inverno,Bom tempo,0.2448979591836735,0.35,0.0
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,Qui,Inverno,Bom tempo,0.2448979591836735,0.35,0.12284001410603033
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,Qui,Inverno,Bom tempo,0.2653061224489796,0.36,0.19301751498765723
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,Qui,Inverno,Bom tempo,0.2653061224489796,0.36,0.0
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,Qui,Inverno,Bom tempo,0.2448979591836735,0.38,0.19301751498765723
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,Qui,Inverno,Bom tempo,0.20408163265306123,0.51,0.19301751498765723
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,Qui,Inverno,Bom tempo,0.20408163265306123,0.51,0.15786998942047725
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,Qui,Inverno,Bom tempo,0.20408163265306123,0.55,0.10532502644880687
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,Qui,Inverno,Bom tempo,0.1836734693877551,0.51,0.19301751498765723
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,Qui,Inverno,Nublado,0.20408163265306123,0.55,0.2631950158692841
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,Qui,Inverno,Nublado,0.20408163265306123,0.51,0.33337251675091106
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,Qui,Inverno,Nublado,0.1836734693877551,0.59,0.22804749030210417
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,Sex,Inverno,Nublado,0.1836734693877551,0.64,0.22804749030210417
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,Sex,Inverno,Nublado,0.1836734693877551,0.69,0.2631950158692841
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,Sex,Inverno,Nublado,0.1836734693877551,0.69,0.2631950158692841
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,Sex,Inverno,Nublado,0.1836734693877551,0.69,0.15786998942047725
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,Sex,Inverno,Chuva leve,0.20408163265306123,0.55,0.0
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,Sex,Inverno,Nublado,0.1836734693877551,0.69,0.0
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,Sex,Inverno,Bom tempo,0.1836734693877551,0.69,0.15786998942047725
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,Sex,Inverno,Bom tempo,0.1836734693877551,0.51,0.298224991183731
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,Sex,Inverno,Bom tempo,0.1836734693877551,0.47,0.3508875044081345
148,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,Sex,Inverno,Bom tempo,0.20408163265306123,0.37,0.38603502997531447
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,Sex,Inverno,Nublado,0.1836734693877551,0.4,0.2631950158692841
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,Sex,Inverno,Nublado,0.1836734693877551,0.37,0.298224991183731
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,Sex,Inverno,Nublado,0.1836734693877551,0.37,0.33337251675091106
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,Sex,Inverno,Nublado,0.1836734693877551,0.4,0.298224991183731
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,Sex,Inverno,Nublado,0.1836734693877551,0.37,0.19301751498765723
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,Sex,Inverno,Nublado,0.1836734693877551,0.37,0.19301751498765723
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,Sex,Inverno,Nublado,0.1836734693877551,0.37,0.0
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,Sex,Inverno,Bom tempo,0.1836734693877551,0.4,0.10532502644880687
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,Sex,Inverno,Bom tempo,0.14285714285714288,0.55,0.10532502644880687
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,Sex,Inverno,Bom tempo,0.163265306122449,0.47,0.12284001410603033
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,Sex,Inverno,Bom tempo,0.163265306122449,0.47,0.15786998942047725
160,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,Sex,Inverno,Nublado,0.163265306122449,0.43,0.19301751498765723
161,2011-01-07,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,Sex,Inverno,Nublado,0.163265306122449,0.51,0.19301751498765723
